epoch,train_loss,train_loss_ce,train_loss_lovasz,train_mIoU,train_mRecall,train_mPrecision,val_loss,val_loss_ce,val_loss_lovasz,val_mIoU,val_mRecall,val_mPrecision,val_iou_class_0,val_iou_class_1,val_iou_class_2,val_recall_class_0,val_recall_class_1,val_recall_class_2,val_precision_class_0,val_precision_class_1,val_precision_class_2
1,1.215103532075882,0.7699393564462662,0.4451641671359539,0.3079481669624035,0.3917446886841424,0.37968087382982935,3.202779769897461,2.469743013381958,0.7330366969108582,0.18922107675554303,0.33340298720112416,0.565262537844096,4.954664816925133e-05,0.00015940341539143925,0.5674542802030684,4.9555978433238167e-05,0.00015940562493935647,0.9999999999999998,0.2083333333328993,0.9199999999963201,0.5674542802030684
2,0.6614538404345512,0.4285203504562378,0.23293348781764509,0.33080392277915166,0.3536149086459937,0.4612986341035647,2.434576988220215,1.7814273834228516,0.6531497240066528,0.23957318572356298,0.3754733652015059,0.6882431470434139,0.11164469994391471,0.0010326354381077123,0.6060422217886665,0.12626863304789085,0.0010326712224332222,0.9991187913341937,0.49083063646170344,0.9675324675318393,0.6063663371366992
3,0.7839915418624878,0.5172415098547936,0.26675003483891485,0.38739022064854023,0.4356833907939808,0.5821577763678228,1.7656054496765137,1.2140178680419922,0.5515875816345215,0.3905562810249455,0.5267266713180913,0.7611095804238445,0.4092470923127793,0.02424896713517552,0.7381727836268817,0.5642641928322231,0.024285100425543698,0.991630720696507,0.5983394640042036,0.9421887604194422,0.7428005168478878
4,0.601196448430419,0.3935413535311818,0.2076550916582346,0.4991655386122327,0.582326079596455,0.6676472862126758,1.2740505933761597,0.8124845623970032,0.4615660607814789,0.5424223934028888,0.6806892014442214,0.7459473774602117,0.5910722276227065,0.13178818710788928,0.9044067654780705,0.9491654773231839,0.14049180100633454,0.9524103260031457,0.6103949494402251,0.6802348993288568,0.9472122836115533
5,0.729555266648531,0.4839818992465734,0.24557336557656526,0.49297950003911284,0.5891026682497444,0.6388789352522694,1.1461024284362793,0.6963934302330017,0.4497089385986328,0.531386024815757,0.6815517280903426,0.7434429548459786,0.5636228447973511,0.14007163268208786,0.8904635969678321,0.9954705835712016,0.15016009869287378,0.8990245020069525,0.5650719708797126,0.6758375444506811,0.9894193492075419
6,0.6464555881917476,0.4240149859711528,0.22244060438126326,0.5940249916890865,0.7005849425686567,0.7394889740788541,0.9023252129554749,0.55840003490448,0.3439251780509949,0.7234493826100944,0.8140793300642813,0.8465944521048216,0.8216073965392763,0.492673470869854,0.8560672804211529,0.8741426815731046,0.6112304728109446,0.9568648358087951,0.9318376316706987,0.7175156411445488,0.8904300834992177
7,0.31213988896459344,0.19435491938143967,0.11778496909886599,0.6930441891967062,0.7966645982537038,0.8067764796025116,0.8516812324523926,0.5293044447898865,0.3223768174648285,0.7362786727878262,0.8213284379648514,0.8620123904744726,0.834885739080127,0.5256083821541232,0.8483418971292284,0.8581707897240719,0.6466739669822432,0.9591405571882391,0.9685234899328854,0.737363679468942,0.8801500020215903
8,0.47021583158522845,0.30689158765599134,0.1633242440223694,0.7385338641819154,0.8207542680710076,0.8447685051144364,1.077789068222046,0.7133638858795166,0.3644251823425293,0.6419351341088948,0.7569610486186428,0.784526201954655,0.7699038741625398,0.2936710204948496,0.862230507669295,0.9823531160799235,0.3450022871241837,0.943527742651821,0.7807013398237196,0.6637288497179953,0.9091484163222502
9,0.3365799006074667,0.20778006291016937,0.1287998349405825,0.7625255834675841,0.8506606736672592,0.8622368141132387,0.8028874397277832,0.4903866648674011,0.3125007748603821,0.7374249689655253,0.8417634501073601,0.8547988518958282,0.7785525918470053,0.5660824830035388,0.8676398320460316,0.9582788217570564,0.6451769402436823,0.9218345883213414,0.8058685759055824,0.8219867549668867,0.9365412248150152
10,0.31600604459643367,0.18531379897147418,0.1306922420859337,0.7598775303719134,0.8659459714263411,0.8520167464351963,1.0760385990142822,0.7327842116355896,0.34325432777404785,0.6578343601946338,0.7358073451220993,0.9097352289409487,0.8848840471514635,0.28379528575154767,0.8048237476808904,0.9221971138598156,0.28654893752685623,0.9986759839796262,0.9562746337377501,0.9672476313019044,0.8056834217831916
11,0.24638916524127125,0.1477600017003715,0.09862916209734976,0.8613046815484564,0.9322012540970764,0.913681769965998,0.5057420134544373,0.29729875922203064,0.2084432691335678,0.8464949859994965,0.9019151252793033,0.9281311543070098,0.9235866629190462,0.7034424736216185,0.9124558214578247,0.9607467094830316,0.7707123352230981,0.9742863311317801,0.959804940838655,0.8896168830649348,0.9349716390174392
