epoch,train_loss,train_loss_ce,train_loss_lovasz,train_mIoU,train_mRecall,train_mPrecision,val_loss,val_loss_ce,val_loss_lovasz,val_mIoU,val_mRecall,val_mPrecision,val_iou_class_0,val_iou_class_1,val_iou_class_2,val_recall_class_0,val_recall_class_1,val_recall_class_2,val_precision_class_0,val_precision_class_1,val_precision_class_2
1,1.2151129946112633,0.7699415980279446,0.44517139554023744,0.30788550061705316,0.3916413640202321,0.37960374892240695,3.202759027481079,2.4696807861328125,0.7330782413482666,0.18921989790257235,0.33340133533517635,0.5558185663225795,4.459132054718503e-05,0.00015940341539143925,0.5674556989717785,4.460038058991435e-05,0.00015940562493935647,0.9999999999999998,0.17999999999964,0.9199999999963201,0.5674556989717785
2,0.661519352644682,0.4285829833894968,0.23293636977672577,0.33081383547160076,0.35363027739394476,0.4611700655274733,2.432075262069702,1.7790645360946655,0.6530107855796814,0.2396755662261616,0.3755645352794453,0.6943280068450828,0.1118712661399113,0.0009702816589044128,0.6061851508796691,0.12657588011417692,0.0009702951083265176,0.9991474306158324,0.490569661583374,0.9859154929570523,0.606498865994822
3,0.7838728550076485,0.5171834050863982,0.26668944865465166,0.38734739649840577,0.43555347845167863,0.5823509164998366,1.7487695217132568,1.1992857456207275,0.5494837760925293,0.3931680202177459,0.5296042278838494,0.7618792807936484,0.4150548651388733,0.023307797177874186,0.7411413983364901,0.5741456549318107,0.023342528034597937,0.9913245006851394,0.5996635697833904,0.9399944180853771,0.745979854512178
4,0.6014896369725465,0.3938280538842082,0.2076615836843848,0.4986855840053643,0.5814755416390721,0.6673607452626268,1.2726402282714844,0.8115634918212891,0.4610767364501953,0.5426012324923927,0.6808749396462521,0.7466415262381676,0.5916353847673612,0.13170922101154653,0.9044590916982701,0.9497502378686961,0.14032546470205,0.9525491163680101,0.6107534831546607,0.6820386714276068,0.9471324241322355
5,0.7282510958611965,0.4829410022497177,0.245310092382133,0.49405479637122296,0.5900903207276024,0.6399063925136699,1.146947979927063,0.6964638233184814,0.45048412680625916,0.5299622925059918,0.6806259936572513,0.7440716527185076,0.562189569825977,0.13890076296325074,0.8887965447287479,0.9956192515065013,0.1486353492369321,0.8976233802283209,0.5635836772019982,0.6795741174979382,0.9890571634555864
6,0.6444231609255076,0.42268404956907035,0.22173910837620497,0.5951103319772383,0.7002879808521251,0.7420326757765922,0.8868293166160583,0.5468481779098511,0.3399811387062073,0.7283941287189494,0.8186192701037299,0.8486280082020797,0.8269168162665448,0.49887943127644213,0.8593861386138612,0.8811152077386613,0.6186532303896424,0.9560893721828858,0.9307640764704647,0.720420648243801,0.8946992998919737
7,0.3111737672612071,0.19362405877560376,0.11754970643669367,0.6941698544110032,0.7976144184238215,0.8076489134011057,0.8583600521087646,0.5349929332733154,0.32336708903312683,0.7345497236246272,0.8199155833766149,0.8612861431979343,0.8324615421768211,0.5240642312143922,0.8471233974826686,0.8541319774817631,0.6464521852431971,0.9591625874048842,0.9704239626147172,0.7346144758604389,0.8788199911186466
8,0.4690085485577583,0.3059682079963386,0.163040338344872,0.7394599140600069,0.8211974416739644,0.845729471950956,1.0745553970336914,0.7114283442497253,0.36312711238861084,0.6438207711857812,0.7583534270232498,0.7856670038240466,0.7721585573509869,0.2970982471645307,0.8622055090418259,0.9820310022201074,0.34947950598117605,0.9435497728684662,0.7832245773932562,0.6646762627860373,0.9091001712928468
9,0.3363088344410062,0.2075021099857986,0.1288067234866321,0.7631271596130421,0.8511555213898935,0.8625152076059237,0.8275102376937866,0.5115236639976501,0.31598660349845886,0.7325838451851657,0.8379126547301997,0.8538096505963164,0.7719838720590984,0.5567783738761909,0.8689892896202077,0.9611580241040275,0.630088851309205,0.9224910887773669,0.7968430956068739,0.8271510585837625,0.9374347975983127
10,0.31711413882672784,0.1861354986950755,0.13097863983362912,0.7587104195960918,0.864352206025173,0.8514489953105339,1.074719786643982,0.7346001863479614,0.3401195704936981,0.662537009359674,0.7403482002040223,0.9100729705737266,0.8861213840260247,0.29223346282137497,0.8092561812316221,0.9273509356168724,0.29510139583881995,0.9985922691563747,0.9522239353555086,0.9678145243777679,0.810180451987903
11,0.24666368851438164,0.14782039666548372,0.09884329060092568,0.8608718490347153,0.9319208756556024,0.913398021955472,0.5122911334037781,0.3031676411628723,0.20912349224090576,0.8441895899620872,0.900044302778623,0.9273534094260952,0.9223288505069331,0.6983568149438021,0.911883104435526,0.9611431573104975,0.7643707636222498,0.9746189874031219,0.9580523900554719,0.8899432730559113,0.9340645651669022
12,0.15853936292231083,0.08927445874549449,0.06926490265876055,0.9081661657272311,0.9544844702874117,0.9466607208796227,0.648215651512146,0.38446593284606934,0.2637496888637543,0.7865066278843882,0.8917953169433539,0.8781691921760327,0.8396968481914348,0.6446731323060184,0.8751499031557115,0.8406081509673323,0.9200060989978233,0.9147717008649061,0.9987106042497066,0.6829554399666607,0.9528415323117307
13,0.2851092313043773,0.19097015097737313,0.09413908017799258,0.8375338573189279,0.8946825938797804,0.926483578114066,0.9016717672348022,0.5690459609031677,0.3326258361339569,0.7196181429918479,0.85824724984073,0.8209336457539808,0.748123765635286,0.5804820105990731,0.8302486527411846,0.9855197431018073,0.7485202999598016,0.8407017064605811,0.7564386865117549,0.721117187134854,0.9852450636153335
14,0.2909279489889741,0.1874147245194763,0.10351322171278297,0.8092572016732297,0.8767797483940232,0.8973282685446738,0.4591756761074066,0.1815134584903717,0.2776622176170349,0.7537393908349457,0.9009560909239469,0.8476856599001804,0.9435339756117969,0.5499411999860275,0.7677429969070128,0.949794838249286,0.9820356791372684,0.7710377553852863,0.9930621761658026,0.5555298536428539,0.9944649498918844
