epoch,train_loss,train_loss_ce,train_loss_lovasz,train_mIoU,train_mRecall,train_mPrecision,val_loss,val_loss_ce,val_loss_lovasz,val_mIoU,val_mRecall,val_mPrecision,val_iou_class_0,val_iou_class_1,val_iou_class_2,val_recall_class_0,val_recall_class_1,val_recall_class_2,val_precision_class_0,val_precision_class_1,val_precision_class_2
1,1.2132413166761398,0.7755514857172966,0.4376898314058781,0.2990784038864978,0.3632007471596754,0.3725773026133025,2.5522947311401367,1.8655623197555542,0.6867325305938721,0.21274426129557866,0.3508017669735047,0.5446515686233954,0.04723642452182265,0.00042269820041438257,0.5905736611644989,0.05214775610529652,0.0004227714400565541,0.9998347733751611,0.3340210766886734,0.7093023255805706,0.5906313036009421
2,0.7638125303387642,0.4869269496947527,0.2768855829536915,0.4137499813121819,0.4787042620882482,0.5553785863376408,2.741565227508545,2.079164743423462,0.6624003648757935,0.26587022708285546,0.39820955881763687,0.6273419296983507,0.11694946873913518,0.05731107722395833,0.6233501352854729,0.13669025531240084,0.05808602359203246,0.9998523975484772,0.44744910373915087,0.8111691831203948,0.6234075022355062
3,0.7535917028784752,0.4966568698734045,0.25693483650684357,0.4203413493579233,0.508095771817843,0.6257050573702037,1.6345195770263672,1.1160796880722046,0.5184399485588074,0.457646573665847,0.5971183457993715,0.7288254093063172,0.5416302118933696,0.009206564079896118,0.8221029450242752,0.7853681018078017,0.009238595567137485,0.9967483400231756,0.6357320218701986,0.7264305177111321,0.8243136883376208
4,0.6811000169813632,0.4417085103318095,0.23939150646328927,0.527799636340828,0.6391690712966546,0.653367732594873,1.2225186824798584,0.7179942727088928,0.5045244097709656,0.430201419093075,0.6089750038647372,0.7041002461969571,0.464900705031191,0.0425266807519367,0.7831768714960974,0.9986223437995555,0.043524666287789504,0.7847780015068666,0.46519906366435954,0.6496999793089111,0.997401695617601
5,0.43629628531634806,0.2801081601902842,0.15618812818080186,0.5924100912951441,0.7022790648613464,0.723221455557129,1.1526870727539062,0.747327446937561,0.40535968542099,0.6501962613293645,0.7474631625662523,0.8350751212092495,0.6649638755699557,0.43967596737292325,0.8459489410452146,0.7566751902949569,0.49014457397114036,0.99556972343266,0.8458304251005414,0.8102494185580229,0.8491455199691841
6,0.4701280149072409,0.2960707070492208,0.17405731165781618,0.6418140127396915,0.7485998859791128,0.7490550773652459,0.7065250277519226,0.4113674759864807,0.2951575517654419,0.7645161203337931,0.853862370975018,0.8725843455538694,0.797677193932161,0.554533886380599,0.9413372806886193,0.9639034253092289,0.6282175678860038,0.9694661197298212,0.8222388495047744,0.8254154714747522,0.9700987156820815
7,0.3999859846010804,0.253069261983037,0.14691672433167696,0.7006812142985418,0.7970858350296092,0.8116273991242524,0.707344114780426,0.36894986033439636,0.33839425444602966,0.7074344638750749,0.8545060423758314,0.814924496588338,0.8162714009878963,0.49932702023732006,0.8067049704000085,0.8819923485569295,0.8664804624149254,0.8150453161556389,0.9163500252283419,0.5409494881313982,0.9874739764052738
8,0.35052924815565345,0.21813514375127852,0.132394104776904,0.7057494562418872,0.8114717413662961,0.8085457846447559,1.1022021770477295,0.7279018759727478,0.3743003010749817,0.6621880490842244,0.7963630729991585,0.8360796594047325,0.5645181165313654,0.5819846893293997,0.8400613413919081,0.5675646209958767,0.8778051924649649,0.9437194055366338,0.9905811328587854,0.6332908322708065,0.8843670130846059
9,0.30859552435576915,0.18569829907268287,0.12289722530171275,0.805647775060678,0.8959426199303256,0.8789523563382927,0.5896059274673462,0.34983447194099426,0.23977147042751312,0.8100663327188955,0.87721886417711,0.9107116163555559,0.8686740022042745,0.6415488206916738,0.9199761752607379,0.9530308436409765,0.6986402007124735,0.9799855481778805,0.9075267802368926,0.8870155925521797,0.9375924762775951
10,0.2051042712852359,0.1236120137758553,0.08149225604720414,0.8712628315299903,0.9303219900351366,0.9238418844930939,0.719605565071106,0.4704982042312622,0.24910733103752136,0.7918080591137765,0.8706980240821071,0.9007253579082072,0.7928408676181924,0.692357794181502,0.8902255155416351,0.7966519980970501,0.8398735844087433,0.9755684897405279,0.9940022754254051,0.7976488244122056,0.9105249738870107
