epoch,train_loss,train_loss_ce,train_loss_lovasz,train_mIoU,train_mRecall,train_mPrecision,val_loss,val_loss_ce,val_loss_lovasz,val_mIoU,val_mRecall,val_mPrecision,val_iou_class_0,val_iou_class_1,val_iou_class_2,val_recall_class_0,val_recall_class_1,val_recall_class_2,val_precision_class_0,val_precision_class_1,val_precision_class_2
1,1.2132515114545823,0.7755600216984749,0.4376914878189564,0.2991193860658064,0.3632674551568906,0.3726653051960143,2.550302028656006,1.8636976480484009,0.6866042613983154,0.2127209331193695,0.35076974405653605,0.5505724807327655,0.04708992097078924,0.000464275072586289,0.590608603314733,0.05199908816999681,0.00046435551612769056,0.9998457884834837,0.33279416428797864,0.7282608695644258,0.5906624083458921
2,0.7637756299972535,0.4868968512117863,0.27687878102064134,0.4138490678450057,0.4788095676745587,0.5557452679256439,2.7437891960144043,2.081289052963257,0.6625002026557922,0.2662381351816404,0.3985589020457921,0.6290587474038646,0.11706288603814562,0.0582900757093908,0.6233614437973848,0.1367497224865207,0.059070180059049356,0.9998568035918063,0.4484731273666925,0.8152860149225098,0.6234170999223916
3,0.7535881842672825,0.4966365837305784,0.25695159800350664,0.42021370460371177,0.5080389413902245,0.6256852151636303,1.6333715915679932,1.1151354312896729,0.5182361602783203,0.4578883716370748,0.5974389234848516,0.7291753771114169,0.5417756084240705,0.009062150326707092,0.8228273561604468,0.7865723120837295,0.009093051300888508,0.9966514070699368,0.6351449768309175,0.727272727272687,0.8251084272306461
4,0.6810540364682675,0.4416457939147949,0.2394082397222519,0.5280703705695047,0.6394178752674843,0.6536836296649443,1.222166657447815,0.7185072302818298,0.5036594271659851,0.4314706969476088,0.6097867177465782,0.7045943768650903,0.4662626655282441,0.04193170348392164,0.7862177218306606,0.9985926102124956,0.04290090514672246,0.7878666378805167,0.4665692659987542,0.6498687664041927,0.9973450981923239
5,0.43638004049658774,0.2801682464405894,0.15621179580688477,0.5923504647957984,0.7022272913619331,0.7232425499511631,1.157106876373291,0.7508156895637512,0.4062912166118622,0.648960206582172,0.7463298860493929,0.8346846303745955,0.6630254665968949,0.43930269413629136,0.8445524590133298,0.7534738740881697,0.4899020001940587,0.9956137838659502,0.846703012145478,0.8096443502663069,0.8477065287120019
6,0.470203675031662,0.29610290328040717,0.17410077333450316,0.6418835944812239,0.7485959503952352,0.7491818289516119,0.7070939540863037,0.41192811727523804,0.2951658368110657,0.7641239649648731,0.8535772071273696,0.8722241066012106,0.7974363181426635,0.5538737108517698,0.9410618659001863,0.9634029099270531,0.6279264793535059,0.9694022321015502,0.8223472430786147,0.824454919375386,0.9698701573496316
7,0.4000724274292588,0.2530723736062646,0.14700005227699875,0.7006784292012244,0.7970788475077647,0.8116437249627516,0.707402229309082,0.3689233958721161,0.33847886323928833,0.7070989948548924,0.8542567861974434,0.8145937040554029,0.816798862959057,0.49851300373246027,0.8059851178731594,0.8828496669838245,0.8655032366272537,0.8144174549812521,0.9160898853293563,0.540374471546826,0.9873167552900264
8,0.3505962820351124,0.21812459933571518,0.1324716797284782,0.7056444437438806,0.811329818046182,0.808505322293052,1.1200319528579712,0.7422855496406555,0.3777464032173157,0.6579882360888966,0.7924023902767887,0.8349420768245986,0.5560911653950038,0.5813839751220365,0.8364895677496492,0.5591004598794796,0.8733210429286273,0.944785668022259,0.9904138209526476,0.6349289529376194,0.879483456583529
9,0.3086109262704849,0.18574601450935005,0.12286491395905613,0.8058078747165784,0.896143183482358,0.878898778039373,0.5895644426345825,0.3500267267227173,0.23953768610954285,0.8094160068950246,0.8774337587923297,0.9096622441469684,0.8663682289700301,0.6404398623681077,0.9214399293469357,0.9552410402790988,0.6978986180225382,0.9791616180753518,0.9030263281176798,0.8860896499533615,0.9398707543698639
10,0.2058918347582221,0.12414339172653854,0.08174844389781356,0.8709112911717343,0.9299861506766351,0.923840606785021,0.748652994632721,0.4917391538619995,0.25691384077072144,0.7834098413601037,0.8663671238063794,0.895823238535946,0.7776851390485396,0.6840117781923618,0.8885326068394097,0.7811806216301931,0.8436300126138359,0.9742907371751092,0.9942791545511307,0.7833249675019623,0.9098655935547447
