epoch,train_loss,train_loss_ce,train_loss_lovasz,train_mIoU,train_mRecall,train_mPrecision,val_loss,val_loss_ce,val_loss_lovasz,val_mIoU,val_mRecall,val_mPrecision,val_iou_class_0,val_iou_class_1,val_iou_class_2,val_recall_class_0,val_recall_class_1,val_recall_class_2,val_precision_class_0,val_precision_class_1,val_precision_class_2
1,1.1321561539173126,0.70942461296916,0.4227315393090248,0.31150251967924963,0.3843458907375827,0.3709154514861109,2.620899200439453,1.9167625904083252,0.7041365504264832,0.19165069406031787,0.3355174163732517,0.5661638954759496,0.000465461747957415,0.006100892999190694,0.5683857274338056,0.00046582619727243875,0.006112859182457061,0.9999735637400256,0.37301587301572503,0.7570815450643127,0.5683942683478109
2,0.9034085895121098,0.5891827631741762,0.31422583155333994,0.36764279722178356,0.4239876285546725,0.5096082428033922,2.091578245162964,1.4789930582046509,0.612585186958313,0.3189795068001951,0.45329499088539915,0.7428606561807136,0.28034687601474595,6.930679345189412e-05,0.6765223375923874,0.36366654773231827,6.930679345189412e-05,0.9961491181304274,0.5502856971460276,0.99999999999,0.678296271406113
3,0.7208627653121948,0.471587326079607,0.24927543848752975,0.4544017244043996,0.5151302546556257,0.6076362872063165,1.4139434099197388,0.9216090440750122,0.49233436584472656,0.47932127500042493,0.6198336712806122,0.7916765203633448,0.5785190526897517,0.016969546095759677,0.8424752262157633,0.8507720821439895,0.017007887113094814,0.9917210445847522,0.6438533919885387,0.8827338129496085,0.8484423561518872
4,0.6629986625909805,0.4248542032390833,0.2381444603204727,0.502843445655292,0.584241895264535,0.63727618078646,1.4381742477416992,0.8424668312072754,0.5957074165344238,0.33020918233337565,0.5376269714032419,0.7604144988115508,0.37718319421028046,0.0481153941668276,0.5653289586230188,0.9966797494449726,0.048341488432696145,0.5678596763320569,0.37765772667782044,0.9114072912583181,0.9921784784985139
5,0.6267420404404401,0.4071396623924375,0.2196023777127266,0.5183471811505823,0.6348555818948215,0.6353582801358565,0.9357370138168335,0.5744177103042603,0.36131930351257324,0.6663303592741279,0.7764425852644413,0.8287605851678025,0.7128531827590492,0.3541660086042969,0.9319718864590374,0.9659649540120516,0.38854774545000875,0.9748150563312638,0.7312190986367759,0.8000970471963339,0.9549656096702972
6,0.6500993767380714,0.4295557004585862,0.2205436773970723,0.5493576484795488,0.6666193084031894,0.6724183184680005,1.1472843885421753,0.7460909485816956,0.4011934697628021,0.562593717524455,0.688537457899285,0.7990227467112558,0.6825873293765343,0.1288299107053006,0.8763639124915301,0.9409490960989529,0.13308983546567227,0.9915734421332297,0.7131359035511067,0.8009927421373122,0.8829395944453488
7,0.37908374920487403,0.2402120278775692,0.13887172294780611,0.6278359441866704,0.712251044897862,0.7425098865271694,1.040262222290039,0.6579732894897461,0.3822889029979706,0.6317983832549623,0.7348667764595369,0.8033723563176193,0.7322148584140518,0.3176181072459363,0.8455621841048988,0.8612283935934028,0.3622804707317409,0.9810914650534671,0.8301599281565267,0.7203869847438696,0.8595701560524612
8,0.3841926426067948,0.24354474306106566,0.14064790228381752,0.6496206397163203,0.7520314239166846,0.7780818334287986,1.3845338821411133,0.9387080669403076,0.44582587480545044,0.555624104781334,0.6964617903916949,0.7876310552354822,0.4046765324791899,0.4571689497716893,0.8050268320931226,0.4088417776720582,0.7112471064413729,0.9692964870616535,0.9754427865402339,0.5613581165350193,0.8260922626311934
9,0.41387271620333194,0.2823310766555369,0.13154164159670473,0.7150921658889938,0.7814307036334768,0.8610434759738679,0.5997112393379211,0.3283828794956207,0.2713283598423004,0.7964607723088207,0.8858852765618052,0.8780700662520354,0.850120891215238,0.6194195396986779,0.9198418860125466,0.9722684744687595,0.7431351621085894,0.9422521931080667,0.8712465029530615,0.7881683597712467,0.9747953360317979
10,0.32556828171014784,0.21889613369479777,0.1066721465997398,0.7555858398554384,0.8181812889130695,0.8715106932455235,1.0152373313903809,0.6816670298576355,0.33357033133506775,0.6731813271347571,0.7529455958698709,0.8734385590055628,0.7806639004149374,0.43048999527335724,0.8083900857159767,0.7924942515065014,0.47342084471119833,0.9929216913919129,0.9812366162096486,0.8260033616697089,0.8130756991373306
11,0.23357680087909102,0.14203318453393876,0.09154361652210355,0.7844388707393334,0.8664843665166598,0.8737904153427957,0.7663350105285645,0.4567274749279022,0.3096075654029846,0.7306233720539633,0.8655806792935231,0.8569529163928614,0.714776462934395,0.5826723561257939,0.8944212971017012,0.7186905328258798,0.9719376793313275,0.906113825723362,0.9924382916698026,0.5926425220808855,0.9857779354278959
12,0.28945583892986176,0.1801260835118592,0.10932975232601166,0.7886269214670666,0.8854963944183961,0.8713898901586931,0.48236221075057983,0.2269417643547058,0.255420446395874,0.8155996934269466,0.919977949444814,0.8828765968954319,0.9065232531146015,0.657734624057227,0.8825412031090111,0.9288772597526161,0.938039726654006,0.8930168619278199,0.974139364709795,0.6876079578938809,0.9868824680826197
13,0.2166859732195735,0.12090041108429432,0.09578556507825851,0.8602038509235128,0.9139679376489448,0.9244053000449238,0.5022326111793518,0.26489630341529846,0.23733632266521454,0.8092866497789252,0.9115931407781169,0.8874681052941789,0.8668543647193401,0.6726929766541728,0.8883126079632627,0.8712188788455435,0.9515822740945061,0.911978269394301,0.9942540761561122,0.6965335660184961,0.9716166737079281
14,0.22540441444143652,0.14063313933089375,0.08477127517573535,0.8466215517677528,0.9009827837323184,0.9165798581756014,0.4711015224456787,0.23653747141361237,0.23456406593322754,0.8411681184539073,0.9255357090062182,0.9016271511891834,0.8534999047998196,0.7484572401111617,0.9215472104507405,0.9774272518236596,0.8716923332825078,0.927487541912487,0.8706613047758199,0.8411221828395635,0.9930979659521667
15,0.3036786644160748,0.20518438748084009,0.09849427613429725,0.7954618447626663,0.8607378681532213,0.8965859745402796,0.4079558253288269,0.21239155530929565,0.19556425511837006,0.8714029998991778,0.9368385868465113,0.9257710487701946,0.9186857246743544,0.7725157735510473,0.9230075014721316,0.9265481287662539,0.9308941962491157,0.9530734355241647,0.9908477612256682,0.81951359398643,0.9669517910984851
16,0.16634736325591803,0.09336183243431151,0.07298553017899394,0.9077534410318348,0.9500816304995438,0.9495951675150724,0.6968767642974854,0.4570595920085907,0.23981714248657227,0.8073432623744045,0.8915802694015014,0.907240243147397,0.788033032383842,0.7226149000621891,0.9113818546771822,0.9935428560101487,0.7489430713998582,0.9322548807944975,0.7920897303191444,0.9536088387649018,0.976022160358145
